title,authors,subject,publish_year,description,rating
Katie the Kitten Fairy,Daisy Meadows,baby books,2006,"Jack Frost has stolen the Pet Fairies' magical pets! Can Rachel and Kirsty help find them? Or will the pets be lost forever?

The Pet Fairies have one of the most important jobs in Fairyland! They work with their special pets to make sure that all animals find safe homes. But now Jack Frost has stolen the magical pets! Could they be lost forever?

Katie the Kitten Fairy's kitten, Shimmer, is missing. Can Rachel and Kirsty get Shimmer back to Fairyland in purr-fect condition?


----------
**Books in this series**

 1. Katie the Kitten Fairy
 2. [Bella the Bunny Fairy][2]
 3. [Georgia the Guinea Pig Fairy][3]
 4. [Lauren the Puppy Fairy][4]
 5. [Harriet the Hamster Fairy][5]
 6. [Molly the Goldfish Fairy][6]
 7. [Penny the Pony Fairy][7]

  [2]: https://openlibrary.org/works/OL5886933W
  [3]: https://openlibrary.org/works/OL5886944W 
  [4]: https://openlibrary.org/works/OL5886955W 
  [5]: https://openlibrary.org/works/OL15994063W
  [6]: https://openlibrary.org/works/OL5886960W 
  [7]: https://openlibrary.org/works/OL5886965W",4.0
Charlotte and the white horse,"Ruth Krauss, Maurice Sendak",baby books,1955,"When a white horse is born and Charlotte is allowed to keep him, she names him Milky Way and they love each other dearly.",
Como Crecen Los Gatitos (Mariposa),Millicent E. Selsam,baby books,1973,"(Gr. 2-5 Age 7-10) **A photographic essay describing four kittens' first eight weeks of life.**

Look at this tiny kitten.
You could hold it in one hand.
It is too little to walk.
But wait! It will grow.",
Who Grows Up in the Desert?,Theresa Longenecker,baby books,2002,Who Grows Up Here? - Beautiful drawings and lyrical text take the reader from the tundra to the tropics to discover a whole new world of baby animals.,
Who Grows Up in the Ocean?,Theresa Longenecker,baby books,2002,Who Grows Up Here? - Beautiful drawings and lyrical text take the reader from the tundra to the tropics to discover a whole new world of baby animals.,
Who Grows Up on the Farm?,Theresa Longenecker,baby books,2002,Who Grows Up Here? - Beautiful drawings and lyrical text take the reader from the tundra to the tropics to discover a whole new world of baby animals.,
Meet a Baby Chimpanzee,Mari C. Schuh,baby books,2015,,
Meet a Baby Lemur,Samantha S. Bell,baby books,2015,,
Meet a Baby Lion,Samantha S. Bell,baby books,2015,,
Meet a Baby Giraffe,Samantha S. Bell,baby books,2015,,
Meet a Baby Elephant,Samantha S. Bell,baby books,2015,,
Funny Frank,Dick King-Smith,baby books,2001,"Being a duck isn't all it's quacked up to be. But don't try telling that to Frank--he's a chicken with a dream. All he thinks about are webbed feet, waterproof feathers, and the cool water of the pond. So when Frank takes a dip and nearly drowns, his mood turns foul. Luckily, he gets a little human help--in the form of a man-made wet suit and a pair of flippers--and soon he's the speediest bird in the water. And while Frank knows he's ruffled a few feathers, he doesn't care--there's just too much for him to crow about. Until a certain young chick catches his eye, that is. . . .From the Hardcover edition.",
Oscars Lonely Christmas,Holly Webb,baby books,2010,,4.0
Buttons The Runaway Puppy,Holly Webb,baby books,2009,"Sophie often sees her elderly neighbor, Mr. Jenkins, walking his Labrador puppy, Buttons. One day, Sophie sees Buttons climb out the window at Mr. Jenkins's house and thinks Buttons is running off to play.  But Buttons isn't playing; something at home is very wrong. How can Buttons let Sophie know?",5.0
Biscuit Goes Camping,Alyssa Satin Capucilli,baby books,2015,Biscuit the puppy spends an evening camping out in the backyard.,5.0
"Kleiner Eisbär, komm bald wieder!",Hans De Beer,baby books,1988,"When a young polar bear is caught in a fishing net which brings him to the city, the friendly ship's cat helps him return home.",
